All items GL

Page by:
Item Library Desc: Casterton Library


"Item Barcode,""Catalog Author"",""Catalog Title"",""Catalog Pub Year"",""Item Collection"",""Item Type"",""Item Created Date"",""Item Last Activity Date"",""Item Status"",""Item Call Number"",""Item Lifetime Checkout"""
"1488053-3001,""Byun, You."",""Dream friends /"",""2013"",""J-PICBK"",""PIC-BK-FLT"",""16/10/2013"",""01/01/1900"",""J-PICBK"",""PIC"",""0"""
"33305000000178,""Ham, Rosalie,"",""The dressmaker /"",""2015"",""AUST-FIC"",""BOOK-FLT"",""22/05/2017"",""16/01/2025"",""AUST-FIC"",""HAM"",""22"""
"33305000000491,""Nolan, Cheryl R. "",""The Shepherd's wife /"",""0"",""FIC-GEN"",""BOOK-FLT"",""30/08/2017"",""05/03/2020"",""FIC-GEN"",""NOLA"",""9"""
"33305000000699,""Griffiths, Andy,"",""The 91-storey treehouse /"",""2017"",""J-FICTION"",""BOOK-FLT"",""26/09/2017"",""19/08/2022"",""J-FICTION"",""J GRIFF"",""26"""
"33305000001127,""Wilson, Tony,"",""Hickory dickory dash /"",""2018"",""J-PICBK"",""PIC-BK-FLT"",""21/02/2018"",""26/09/2023"",""J-PICBK"",""PIC WILS"",""14"""
"33305000001333,""Ruurs, Margriet,"",""Stepping stones : a refugee family's journey /"",""2017"",""J-PICBK"",""PIC-BK-FLT"",""02/10/2017"",""04/03/2022"",""J-PICBK"",""PIC RUUR"",""1"""
"33305000001374,""MacBride, Stuart,"",""Now we are dead"",""2018"",""LARGEPRINT"",""BOOK-FLT"",""17/10/2018"",""02/07/2025"",""ON-LOAN"",""LP MACB"",""23"""
"33305000001432,""Altschwager, Wendy,"",""Talk of the town /"",""2015"",""AUST-FIC"",""BOOK-FLT"",""05/09/2018"",""13/02/2025"",""AUST-FIC"",""AUST ALTS"",""20"""
"33305000001549,""Massey, Graeme."",""Beersheba : the men of the 4th Light Horse Regiment who charged on the 31st October 1917 /"",""2007"",""HIST-SOC"",""BOOK-FLT"",""08/09/2018"",""16/03/2021"",""HIST-SOC"",""HIST 940.4129 MASS"",""2"""
"33305000001747,""Moriarty, Liane"",""Nine perfect strangers /"",""2021"",""FIC-GEN"",""BOOK"",""01/10/2018"",""10/07/2025"",""FIC-GEN"",""GFIC MORI"",""28"""
"33305000001762,""Harfull, Liz,"",""Tried, tested and true : treasured recipes and untold stories from Australian community cookbooks /"",""2018"",""COOKING"",""BOOK-FLT"",""07/11/2018"",""19/12/2024"",""COOKING"",""FOOD 641.5994 HARF"",""5"""
"33305000001846,""Kelly, Cathy,"",""The year that changed everything"",""2018"",""LARGEPRINT"",""BOOK-FLT"",""02/01/2019"",""07/04/2025"",""LARGEPRINT"",""LP KELL"",""23"""
"33305000001879,""Grisham, John,"",""The Rooster Bar"",""2018"",""LARGEPRINT"",""BOOK-FLT"",""02/01/2019"",""13/06/2025"",""LARGEPRINT"",""LP GRIS"",""40"""
"33305000001887,""Coben, Harlan,"",""Don't let go"",""2017"",""LARGEPRINT"",""BOOK-FLT"",""02/01/2019"",""06/05/2025"",""LARGEPRINT"",""LP COBE"",""33"""
"33305000001994,""Atkins, Ace,"",""The sinners"",""2018"",""LARGEPRINT"",""BOOK-FLT"",""01/02/2019"",""22/01/2024"",""LARGEPRINT"",""LP ATKI"",""30"""
"33305000002067,""Perry, Anne,"",""An echo of murder /"",""2017"",""CRIME"",""BOOK-FLT"",""10/07/2017"",""18/06/2025"",""CRIME"",""PERR"",""24"""
"33305000002158,""Chevalier, Tracy,"",""New boy : Othello retold /"",""2017"",""FIC-GEN"",""BOOK-FLT"",""03/07/2017"",""20/04/2024"",""FIC-GEN"",""CHEV"",""15"""
"33305000002240,""Brown, Rita Mae,"",""A hiss before dying : a Mrs. Murphy mystery /"",""2017"",""CRIME"",""BOOK-FLT"",""17/07/2017"",""29/10/2024"",""CRIME"",""BROW"",""12"""
"33305000002265,""Gemmell, David."",""Rhyming rings /"",""2017"",""CRIME"",""BOOK-FLT"",""03/07/2017"",""29/05/2023"",""CRIME"",""GEMM"",""16"""
"33305000002281,""Dailey, Janet."",""Just a little Christmas /"",""2017"",""ROMANCE"",""BOOK-FLT"",""17/07/2017"",""31/03/2025"",""ROMANCE"",""DAIL"",""18"""
"33305000002315,""Magro, Mandy,"",""Along country roads /"",""2017"",""ROMANCE"",""BOOK-FLT"",""03/07/2017"",""14/05/2025"",""ROMANCE"",""MAGR"",""46"""
"33305000002455,""Steel, Danielle"",""Against all odds /"",""2017"",""ROMANCE"",""BOOK-FLT"",""10/07/2017"",""24/04/2025"",""ROMANCE"",""STEE"",""18"""
"33305000002661,""Tóib??n, Colm"",""House of names /"",""2017"",""FIC-GEN"",""BOOK-FLT"",""10/07/2017"",""20/02/2019"",""FIC-GEN"",""TOIB"",""2"""
"33305000002760,""Grisham, John,"",""Camino Island /"",""2017"",""THRILLER"",""BOOK-FLT"",""17/07/2017"",""28/03/2025"",""THRILLER"",""GRIS"",""54"""
